,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
436,,,P,Joseph,Pett,Joseph Pett,,1605-11-14,1606-06-26,,,,,,,,,,,,,,,,,,
437,,11/126/130,P,Richard,Pettye,Richard Pettye,Concord,1614-11-07,1615-09-18,,,,unsure ship name,,,,,,,,,,,,,,
438,,,P,Richard,Philips,Richard Philips,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
439,,,C,John,Phillips,John Phillips,New Year's Gift,1615-10-29,1616-07-08,,,,alias: Harvest; additional ship: Solomon,,,,,,,,,,,,,,
440,,,P,Robert,Phillips,Robert Phillips,Dragon,1616-08-01,1617-11-17,,,,,,,,,,,,,,,,,,
441,,,C,Thomas,Phillips,Thomas Phillips,Diamond,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
442,,,C,William,Pickis,William Pickis,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
443,,11/122/453,P,John,Pieterson,John Pieterson,,,1614-11-11,,,,"excellent on wages, part of Worshipful Company",,,,,,,,,,,,,,
444,,,P,Richard,Pike,Richard Pike,Trades Increase,1612-06-26,1614-08-05,,,,,,,,,,,,,,,,,,
445,,,C,Richard,Pilgram,Richard Pilgram,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
446,,11/102/187,P,Thomas,Pinchebacke,Thomas Pinchebacke,Hector,1601-03-04,1603-10-11,,,,,,,,,,,,,,,,,,
447,,9171/20/194v,C,Leonard,Pinchebate,Leonard Pinchebate,Dragon,1605-11-27,1606-07-18,,,,alternate last name: Pinchbate,,,,,,,,,,,,,,
448,,,P,Patrick,Plnderleethe,Patrick Plnderleethe,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
449,,,C,John,Plum,John Plum,Defence,1616-08-01,1617-07-04,,,,corrected ship name: Defense,,,,,,,,,,,,,,
450,,9171/21/213v,C,John,Pocom,John Pocom,Dragon,1607-03-04,1610-01-12,,,,,,,,,,,,,,,,,,
451,,11/124/137,P,John,Pooley,John Pooley,Trades Increase,1613-03-26,1614-08-25,sailor,,,uncertain first name,,,,,,,,,,,,,,
452,,11/128/162,P,Thomas,Pope,Thomas Pope,New Year's Gift,1615-10-16,1616-08-01,cooper's mate,,,,,,,,,,,,,,,,,
453,,,C,William,Porter,William Porter,Moon,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
454,,,P,Richard ,Portman,Richard  Portman,,1612-01-24,1614-07-20,,,,alias; Poolehowse,,,,,,,,,,,,,,
455,,9052/4/xx,A,Robert,Portman,Robert Portman,,1613-10-18,1614-08-02,,,,,,,,,,,,,,,,,,
456,,,C,John,Potter,John Potter,,1614-02-21,1617-10-10,,,,,,,,,,,,,,,,,,
457,,,C,James,Powell,James Powell,Trades Increase,1613-05-17,1614-08-30,,,,,,,,,,,,,,,,,,
458,,,C,William,Powell,William Powell,Swann,,1620-01-01,,,,,,,,,,,,,,,,,,
459,,,P,William,Powell,William Powell,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
460,,,C,George,Power,George Power,James,1618-08-07,1620-02-15,,,,,,,,,,,,,,,,,,
461,,,P,James,Poynter,James Poynter,Hope,1617-09-30,1618-09-17,,,,,,,,,,,,,,,,,,
462,,,C,John,Pratt,John Pratt,Peppercorn,1614-01-11,1617-09-11,,,,,,,,,,,,,,,,,,
463,,,P,William,Preston,William Preston,Charles,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
464,,,C,Stephen,Prior,Stephen Prior,James,1617-10-11,1618-09-16,,,,,,,,,,,,,,,,,,
465,,,C,Nicholas,Procter,Nicholas Procter,,1614-04-20,1617-07-16,,,,,,,,,,,,,,,,,,
466,,,P,Stephen,Prust,Stephen Prust,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
467,,,P,Richard,Puckell,Richard Puckell,Diamond,,,,,,,,,,,,,,,,,,,,
468,,,P,George,Pybourne,George Pybourne,,1617-07-03,1618-09-11,servant to EIC,,,,,,,,,,,,,,,,,
469,,,P,Christopher,Pyne,Christopher Pyne,Hart,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
470,,,C,Robert,Pynne,Robert Pynne,Trades Increase,1612-02-20,1614-07-14,,,,unsure ship name,,,,,,,,,,,,,,
471,,,P,John,Radman,John Radman,William,1623-02-21,1624-10-06,,,,,,,,,,,,,,,,,,
472,,11/102/194v,P,Nicholas,Ragwoode,Nicholas Ragwoode,Dragon,1603-09-28,1603-10-17,,,,,,,,,,,,,,,,,,
473,,,C,Henrie,Rand,Henrie Rand,Darling,1611-03-12,1614-10-18,,,,,,,,,,,,,,,,,,
474,,,C,John,Ratcliffe,John Ratcliffe,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
475,,,P,Richard,Rathbone,Richard Rathbone,Bull,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
476,,,P,John,Rawle,John Rawle,,1615-01-17,1617-09-13,,,,uncertain first name,,,,,,,,,,,,,,
477,,,C,ffrauncis,Rawlingson,ffrauncis Rawlingson,James,,1615-09-22,,,,alternate last name: Rawlinson,,,,,,,,,,,,,,
478,,,P,Edward,Read,Edward Read,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
479,,,P,Marke,Reade,Marke Reade,Hector,1615-06-27,1617-09-24,,,,,,,,,,,,,,,,,,
480,,,P,William,Redwood,William Redwood,Abigail,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
481,,,C,William,Remington,William Remington,Hector,1616-01-08,1617-06-21,,,,,,,,,,,,,,,,,,
482,,,C,Henrie,Reseth,Henrie Reseth,James,1612-12-14,1615-09-13,,,,,,,,,,,,,,,,,,
483,,,C,Henry,Rickaman,Henry Rickaman,Charles,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
484,,,C,William,Rickman,William Rickman,New Year's Gift,1616-05-26,1616-07-15,,,,,,,,,,,,,,,,,,
485,,9171/21/208,C,Robert,Rider,Robert Rider,Consent,1607-02-20,1609-12-13,,,,,,,,,,,,,,,,,,
486,,,C,Peter,Rigby,Peter Rigby,New Year's Gift,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
487,,9171/20/179,C,Evan,Riggby,Evan Riggby,Dragon,1604-11-26,1606-06-13,,,,,,,,,,,,,,,,,,
488,,,P,Rowland,Riles,Rowland Riles,Hector,1602-07-07,1603-10-07,,,,,,,,,,,,,,,,,,
489,,,P,Rowland,Rilles,Rowland Rilles,Hector,1602-07-07,1603-10-07,,,,corrected ship name: Oleander,,,,,,,,,,,,,,
490,,,P,Edward,Roades,Edward Roades,,1613-09-11,1614-06-22,,,,alternate last name: Rodes,,,,,,,,,,,,,,
491,,11/128/192,P,Thomas,Robbinson,Thomas Robbinson,New Year's Gift,1616-06-20,1616-08-13,sailor,,,,,,,,,,,,,,,,,
492,,,P,Robert,Robinson,Robert Robinson,Trades Increase,,1614-06-29,,,,,,,,,,,,,,,,,,
493,,PROB 11/139/649,P,Thomas,Robinson,Thomas Robinson,,,1622-09-02,cook,,,,,,,,,,,,,,,,,
494,,,C,William,Robinson,William Robinson,Moon,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
495,,11/102/181v,P,James,Robson,James Robson,Dragon,1603-02-25,1603-10-31,,,,,,,,,,,,,,,,,,
496,,,C,Mathew,Robson,Mathew Robson,Hector,1611-03-25,1613-11-20,,,,,,,,,,,,,,,,,,
497,,,C,Michaell,Rochester,Michaell Rochester,Susan,1617-01-16,1617-09-13,,,,,,,,,,,,,,,,,,
498,,,P,Walter,Rockwell,Walter Rockwell,Lion,,1623-01-01,,,,corrected ship name: Lyon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
499,,,P,Henry,Rodden,Henry Rodden,,,1613-11-17,,,,shared record with: Field,,,,,,,,,,,,,,
500,,,C,John,Rogers,John Rogers,,,1608-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
501,,,P,William,Rogers,William Rogers,Thomas,1613-05-07,1613-11-22,,,,,,,,,,,,,,,,,,
502,LMA Microfilm,,C,William,Rolph,William Rolph,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
503,,,C,Martin,Rosse,Martin Rosse,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
504,,,P,Richard,Rowe,Richard Rowe,Thomas,1617-04-11,1618-09-14,,,,,,,,,,,,,,,,,,
505,,,C,And,Rugg,And Rugg,Elizabeth,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
506,,,P,Richard,Rumsey,Richard Rumsey,Clove,,1617-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
507,,,P,John,Russell,John Russell,Hector,1613-09-06,1613-11-02,,,,,,,,,,,,,,,,,,
508,,,C,Richard,Russell,Richard Russell,Hector,1615-06-16,1617-06-19,,,,,,,,,,,,,,,,,,
509,,9171/20/195v,C,Robert,Ryse,Robert Ryse,,1605-01-13,1606-07-20,,,,,,,,,,,,,,,,,,
510,,,P,John,Saggs,John Saggs,Lion,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
511,,9052/4/xx,A,John,Salsbery,John Salsbery,,1613-07-21,1615-05-04,,,,alternate last name: Salisbury,,,,,,,,,,,,,,
512,,11/102/218,P,Ralphe,Salter,Ralphe Salter,Dragon,1602-02-02,1603-10-21,,,,,,,,,,,,,,,,,,
513,,,C,Samuell,Saltonstall,Samuell Saltonstall,,1616-07-15,1618-02-20,,,,,,,,,,,,,,,,,,
514,LMA Microfilm,,C,Anthony,Samford,Anthony Samford,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
515,,,C,Robert,Sander,Robert Sander,,,1618-09-21,,,,alternate last name: Saunders,,,,,,,,,,,,,,
516,,,A,Richard,Sanders,Richard Sanders,,1613-04-01,1615-07-24,,,,uncertain first name,,,,,,,,,,,,,,
517,,,C,Simon,Sanders,Simon Sanders,Diamond,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
518,,,P,Joseph,Sandes,Joseph Sandes,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
519,,9052/4/xx,A,John ,Saunders,John  Saunders,Darling,1614-04-26,1616-08-01,,,,alternate last name: Sanders,,,,,,,,,,,,,,
520,,,C,Richard,Saunders,Richard Saunders,Thomas,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
521,,,C,John,Sayer,John Sayer,,,1612-01-01,,,,alternate last name: Sayers; alternate last name: Sayre; alternate last name: Saier; date of probate corrected: ().().12/13; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
522,,,P,Richard,Sayers,Richard Sayers,Globe,1617-01-01,1617-09-13,,,,,,,,,,,,,,,,,,
523,,,C,Pasquell,Scoble,Pasquell Scoble,Trades Increase,,1614-01-01,,,,alternate last name: Squoble; alternate last name: Squobell; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
524,LMA Microfilm,,C,Jas,Scott,Jas Scott,Paulsgrave,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
525,,,C,John,Seaman,John Seaman,,1616-08-04,1618-09-21,,,,,,,,,,,,,,,,,,
526,,9171/20/224,C,John,Searche,John Searche,,,1606-11-15,,,,,,,,,,,,,,,,,,
527,,,P,Philip,Searle,Philip Searle,,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,1,,,,,,,,,,
528,,,P,John,Seawrd,John Seawrd,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
529,,,C,John,Sellers,John Sellers,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
530,,,C,Richard,Semper,Richard Semper,,1615-04-20,1615-09-20,,,,,,,,,,,,,,,,,,
531,,,P,Thomas,Sendall,Thomas Sendall,Hector,,1613-11-05,,,,,,,,,,,,,,,,,,
532,,,C,Thomas,Seriant,Thomas Seriant,Dragon,,1620-01-01,,,,alternate last name: Sergeant; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
533,,,C,Martin,Shankes,Martin Shankes,Anne,,1625-01-01,,,,alternate last name: Shanckes; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
534,,,C,Roger,Shelton,Roger Shelton,Solomon,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
535,,,C,John,Sheppard,John Sheppard,Hosiander,1616-06-27,1618-10-06,,,,,,,,,,,,,,,,,,
536,,,P,Orchard,Sheppard,Orchard Sheppard,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
537,,11/22/397,P,William,Sherman,William Sherman,Hector,,1613-11-03,serv. to capt.,,,,,,,,,,,,,,,,,
538,,,C,Isaac,Sherringham,Isaac Sherringham,Clove,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
539,,11/126/131,P,Robert,Sherwood,Robert Sherwood,James,1613-07-19,1615-09-18,,,,will date: flipped day/month?,,,,,,,,,,,,,,
540,,11/108/42v,P,John,Shewell,John Shewell,,,1606-07-08,,,,,,,,,,,,,,,,,,
541,,,P,Andrew,Shilling,Andrew Shilling,London,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
542,,11/124/25,P,Nicholas,Shoemaker,Nicholas Shoemaker,Trades Increase,1613-03-08,1614-07-04,sailor,,,,,,,,,,,,,,,,,
543,,,P,Randall,Shotbolte,Randall Shotbolte,,1608-08-25,1613-11-11,,,,,,,,,,,,,,,,,,
544,,11/124/214,P,William,Shrandes,William Shrandes,Trades Increase,1612-01-03,1614-07-21,sailor,,,,,,,,,,,,,,,,,
545,,,C,Robert,Simons,Robert Simons,Dragon,1614-01-20,1614-06-22,,,,alternate last name: Simmonds,,,,,,,,,,,,,,
546,,11/107/387V,P,Anthonie,Simpkins,Anthonie Simpkins,,1604-03-05,1606-06-11,,,,alternate first name: Anthony,,,,,,,,,,,,,,
547,,9171/20/179v,C,David,Simpson,David Simpson,Susan,1603-05-24,1606-06-16,,,,,,,,,,,,,,,,,,
548,LMA Microfilm,,C,Jas,Simpson,Jas Simpson,Globe,,1621-01-01,gunner,,,probate date: missing month; probate date: missing day,,,,1,,,,,,,,,,
549,,,P,Jeffrey,Simpson,Jeffrey Simpson,Diamond,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
550,,,C,John,Singleton,John Singleton,Eagle,,1622-01-01,,,,alternate last name: Singellton; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
551,,,P,Thomas,Singleton,Thomas Singleton,Clove,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
552,,,P,Jacob,Skinner,Jacob Skinner,Hart,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
553,,,C,Thomas,Skinner,Thomas Skinner,,1612-11-23,,,,,,,,,,,,,,,,,,,
554,,11/147/139,P,Thomas,Slade,Thomas Slade,Discovery,,1625-10-20,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
555,,,C,ffrancis,Slany,ffrancis Slany,,1604-03-21,1614-09-19,,,,,,,,,,,,,,,,,,
556,LMA Microfilm,,C,William,Slanye,William Slanye,New Year's Gift,,1616-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
557,,,C,Henry,Slapp,Henry Slapp,Peppercorn,1613-08-25,1613-12-07,,,,,,,,,,,,,,,,,,
558,,,P,John,Sloper,John Sloper,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
559,,,C,William,Smarte,William Smarte,,1613-03-09,1614-12-16,,,,,,,,,,,,,,,,,,
560,,,C,John,Smith,John Smith,Dragon,1612-01-11,1614-06-25,,,,,,,,,,,,,,,,,,
561,,,C,Thomas,Smith,Thomas Smith,Globe,1612-06-20,1615-09-11,,,,,,,,,,,,,,,,,,
562,,,P,Henry,Smith,Henry Smith,Dragon,1616-06-23,1617-06-18,,,,,,,,,,,,,,,,,,
563,,,C,John,Smith,John Smith,,1616-08-17,1617-06-30,,,,,,,,,,,,,,,,,,
564,,,C,Thomas,Smith,Thomas Smith,,1616-01-28,1617-10-01,,,,,,,,,,,,,,,,,,
565,,,C,Robert,Smith,Robert Smith,Unicorn,,1621-01-01,,,,probate date: missing month; probate date: missing day; corrected ship name: Unicorne,,,,,,,,,,,,,,
566,LMA Microfilm,,C,John,Smith,John Smith,New Year's Gift,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
567,,,P,Richard,Smith,Richard Smith,Bull,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
568,,,P,Thomas,Smithe,Thomas Smithe,Exchange,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
569,,,C,Roger,Smyth,Roger Smyth,New Year's Gift,1616-06-11,1616-07-11,,,,,,,,,,,,,,,,,,
570,,11/126/105,P,George,Smythe,George Smythe,Star,1615-07-02,1615-09-21,,,,corrected ship name: Starr; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
571,,,P,John,Smythe,John Smythe,Solomon,1615-08-03,1618-09-12,,,,,,,,,,,,,,,,,,
572,,,C,Henry,Snooke,Henry Snooke,,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
573,,,C,Thomas,Soeck,Thomas Soeck,Royal James,,1620-01-01,,,,alternate last name: Soecke; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
574,,9171/21/299,C,James,Sonderland,James Sonderland,Hector,1609-07-08,1610-10-31,,,,,,,,,,,,,,,,,,
575,,,P,Thomas,Soring,Thomas Soring,Royal James,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
576,,,P,John,Sparkes,John Sparkes,,1618-08-29,1618-09-19,,,,,,,,,,,,,,,,,,
577,,,P,Gabriell,Spencer,Gabriell Spencer,Darling,1612-11-22,1614-08-05,,,,,,,,,,,,,,,,,,
578,,,C,Henry,Springall,Henry Springall,Charles,1617-11-19,1618-09-17,,,,,,,,,,,,,,,,,,
579,,,P,Edward,Springe,Edward Springe,,1613-08-26,1613-12-24,,,,earlier will: 24.02.10,,,,,,,,,,,,,,
580,,,C,John,Spur,John Spur,Dragon,1613-02-08,1614-06-24,,,,additional ship: Trades Increase,,,,,,,,,,,,,,
581,,,C,Pasquell,Squoble,Pasquell Squoble,Trades Increase,1613-02-14,1614-12-09,,,,,,,,,,,,,,,,,,
582,,,P,Robert,Standbery,Robert Standbery,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
583,,,P,Augustin,Standen,Augustin Standen,Blessing,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
584,,9171/20/178v,C,Roberte,Stanford,Roberte Stanford,Dragon,1605-09-05,1606-06-13,,,,,,,,,,,,,,,,,,
585,,,P,Robert,Stanton,Robert Stanton,Hart,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
586,,,C,Thomas,Staples,Thomas Staples,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
587,,9052/4/xx,A,Edmund,Starkey,Edmund Starkey,New Year's Gift,1613-11-21,1615-11-04,,,,,,,,,,,,,,,,,,
588,,,P,Thomas,Start,Thomas Start,Peppercorn,1615-01-23,1617-09-29,,,,,,,,,,,,,,,,,,
589,,,P,William,Steesly,William Steesly,Abigail,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
590,,,C,Thomas,Steevens,Thomas Steevens,Trades Increase,1613-06-01,1614-07-02,,,,,,,,,,,,,,,,,,
591,,9171/21/266,C,Edward,Stevens,Edward Stevens,Hector,1609-01-10,1610-06-28,,,,,,,,,,,,,,,,,,
592,,9052/4/xx,A,David,Stevens,David Stevens,,1614-06-24,1614-07-02,,,,,,,,,,,,,,,,,,
593,,,C,Roger,Stones,Roger Stones,Thomas,1613-07-20,1614-01-06,,,,unsure ship name; earlier probate: 30.11.13(sic),,,,,,,,,,,,,,
594,,,P,William,Store,William Store,Charles,,1629-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
595,,,P,John,Stoughton,John Stoughton,Darling,1612-11-26,1614-08-03,,,,,,,,,,,,,,,,,,
596,,,P,Thomas,Stowers,Thomas Stowers,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
597,,9171/21/256,C,Andrew,Stragwhan,Andrew Stragwhan,Hector,1609-01-24,1610-06-06,,,,alternate last name: Strachan,,,,,,,,,,,,,,
598,,,C,John,Stronge,John Stronge,,1613-10-07,1614-07-28,,,,,,,,,,,,,,,,,,
599,,,C,William,Styles,William Styles,New Year's Gift,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
600,,,P,Thomas,Suddabie,Thomas Suddabie,Blessing,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
601,,11/130/285,P,Thomas,Sudgewicke,Thomas Sudgewicke,Peppercorn,1617-09-10,1617-09-13,,,,alternate last name: Sedgewick,,,,,,,,,,,,,,
602,,11/102/227,P,Henrie,Sumpter,Henrie Sumpter,Dragon,1603-09-14,1603-10-21,,,,,,,,,,,,,,,,,,
603,,11/107/348v,P,Richard,Surflete,Richard Surflete,,1604-03-01,1606-06-16,,,,alternate last name: Surfleete,,,,,,,,,,,,,,
604,,,C,Edward,Swabie,Edward Swabie,Hector,1614-02-15,1617-06-16,,,,,,,,,,,,,,,,,,
605,,,C,William,Swabie,William Swabie,Elizabeth,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
606,,,C,William,Swanley,William Swanley,Unicorn,,1618-10-05,,,,,,,,,,,,,,,,,,
607,,,C,John,Swanne,John Swanne,Trades Increase,1613-04-23,1614-07-08,,,,,,,,,,,,,,,,,,
608,,11/126/142,P,Roger,Swetman,Roger Swetman,Globe,1611-01-04,1615-09-07,,,,,,,,,,,,,,,,,,
609,,,C,Jas,Swingleherst,Jas Swingleherst,Merchant's Hope,,1624-01-01,,,,corrected ship name: Marchant Hope; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
610,LMA Microfilm,,C,Alex,Swyne,Alex Swyne,Sun,,1621-01-01,,,,probate date: missing month; probate date: missing day; corrected ship name: Sunne,,,,,,,,,,,,,,
611,,,C,John,Symes,John Symes,Hector,1612-04-13,1614-05-09,,,,alternate last name: Simms,,,,,,,,,,,,,,
612,,9171/22/220v,C,John,Symonds,John Symonds,Hector,1613-08-26,1613-11-13,,,,,,,,,,,,,,,,,,
613,,,C,Nathaniell,Symons,Nathaniell Symons,Trades Increase,1613-09-15,1614-07-24,,,,alternate last name: Simmonds,,,,,,,,,,,,,,
614,,,C,Robert,Tailor,Robert Tailor,Dragon,1616-03-18,1617-07-14,,,,,,,,,,,,,,,,,,
615,,11/107/338,P,Henry,Tanner,Henry Tanner,,1605-01-13,1606-06-16,,,,,,,,,,,,,,,,,,
616,,,C,John,Tayler,John Tayler,Clove,1616-12-02,1617-07-01,,,,,,,,,,,,,,,,,,
617,LMA Microfilm,,C,John,Taylor,John Taylor,Trades Increase,,1614-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
618,,,C,Roger,Taylor,Roger Taylor,,1615-03-19,1615-11-24,,,,,,,,,,,,,,,,,,
619,,,C,John,Taylor,John Taylor,Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
620,,,C,Walter,Teage,Walter Teage,Swann,,1622-01-01,,,,alternate last name: Teague,,,,,,,,,,,,,,
621,,,P,George,Thomas,George Thomas,,1611-04-03,1613-10-19,,,,,,,,,,,,,,,,,,
622,,,P,Rowland,Thomas,Rowland Thomas,Hosiander,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
623,,,P,Philippe,Thomas,Philippe Thomas,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
624,,9171/22/201,C,George,Thompson,George Thompson,Hector,1613-07-08,1613-10-09,,,,,,,,,,,,,,,,,,
625,,,P,Thomas,Thompson,Thomas Thompson,,1618-01-09,1618-09-23,,,,,,,,,,,,,,,,,,
626,,,P,Jeffrey,Thorne,Jeffrey Thorne,Dragon,1612-01-21,1614-07-27,,,,,,,,,,,,,,,,,,
627,,,P,Thomas,Thorneburrought,Thomas Thorneburrought,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
628,,,C,Thomas,Thorneton,Thomas Thorneton,,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
629,,11/154/562,P,John,Thornton,John Thornton,Paulsgrave,,1628-12-11,smith's mate,,,,,,,,,,,,,,,,,
630,,,P,Christopher,Tiffinge,Christopher Tiffinge,Hart,,,,,,unsure ship name,,,,,,,,,,,,,,
631,,11/124/238,P,John,Tillman,John Tillman,Trades Increase,1613-05-22,1614-07-27,sailor,,,,,,,,,,,,,,,,,
632,,,C,Jas,Timm,Jas Timm,Charles,,1618-01-01,,,,alternate last name: Tym,,,,,,,,,,,,,,
633,,,P,Henry,Tincker,Henry Tincker,Bear,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
634,,,P,Thomas,Todd,Thomas Todd,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
635,,,P,William,Tolkine,William Tolkine,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
636,,11/123/21,P,John    ,Toocker,John Toocker,,,1614-01-13,merchant to EIC,,,,,,,,,,,,,,,,,
637,LMA Microfilm,,C,Henry,Toston,Henry Toston,Clove,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
638,,,C,Gabriel,Tottom,Gabriel Tottom,Elizabeth,,1622-01-01,,,,alternate last name: Tatton; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
639,,,C,Johan,Toucker/ Tourber,John Toucker junior,Trades Increase,,1614-06-21,mariner,,,alternate last name: Tucker,,,,,,,,,,,,,,
640,,,C,Richard,Toucker/Turber,Richard Toucker,Trades Increase,1613-04-02,1614-07-23,,,,brother to John jr on same ship,,,,,,,,,,,,,,
641,,,P,John,Traughton,John Traughton,Bull,,1627-01-01,,,,alternate last name: Troughton; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
642,,,P,Richard,Traviliere,Richard Traviliere,Charles,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
643,,,C,Richard,Treuer,Richard Treuer,Trades Increase,1613-04-10,1614-06-01,,,,probate date: missing day,,,,,,,,,,,,,,
644,LMA Microfilm,,C,Richard,Trevor,Richard Trevor,Trades Increase,,1614-01-01,,,,alternate last name: Trever; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
645,,11/117/11v,P,George,Triplett,George Triplett,,1609-04-06,1611-07-27,,,,,,,,,,,,,,,,,,
