,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
114,,,C,John,Gammell,John Gammell,Paulsgrave,,1623-01-01,,,,alternate last name: Gamull; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
115,,,C,William,Gascoyne,William Gascoyne,Dragon,,1614-01-01,,,,alternate last name: Gascon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
116,,9171/20/185,C,Thomas,Gaytes,Thomas Gaytes,Ascension,1604-01-06,1606-06-24,,,,additional ship: Hector,,,,,,,,,,,,,,
117,,11/123/732,C,John,Geles,John Geles,,1612-12-15,1614-07-21,1/4 master,,,alternate last name: Giles,,,,,,,,,,,,,,
118,,,P,John,George,John George,Defence,1617-03-12,1618-09-14,,,,corrected ship name: Great Defence,,,,,,,,,,,,,,
119,,,P,John,George,John George,Charles,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
120,,,C,Raph,Geoyles,Raph Geoyles,Hector,1614-02-24,1617-06-19,,,,alternate last name: Giles,,,,,,,,,,,,,,
121,,,C,William,Gerrom,William Gerrom,Trades Increase,1613-05-02,1614-07-21,,,,,,,,,,,,,,,,,,
122,,,P,John,Giles,John Giles,Trades Increase,1613-03-22,1614-06-29,,,,,,,,,,,,,,,,,,
123,,11/102/345,P,John,Godderd,John Godderd,Hector,1602-11-29,1603-11-02,,,,,,,,,,,,,,,,,,
124,,,P,Edward,Goodall,Edward Goodall,Charles,1617-12-13,1618-09-23,,,,,,,,,,,,,,,,,,
125,,,C,John,Goodson,John Goodson,,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
126,,,C,Henry,Gosling,Henry Gosling,Moon,,1620-01-01,,,,alternate last name: Goslinge; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
127,,,P,John,Goulding,John Goulding,Elizabeth,1612-10-06,1624-10-07,,,,,,,,,,,,,,,,,,
128,,,C,James,Gourdonne,James Gourdonne,,1617-09-09,1618-09-19,,,,alternate last name: Gordon,,,,,,,,,,,,,,
129,,,P,Robert,Grafton,Robert Grafton,Charles,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
130,,,C,Alonco,Grancilla,Alonco Grancilla,Peppercorn,1611-09-11,1614-02-10,,,,,,,,,,,,,,,,,,
131,,11/126/131,P,James,Grantham,James Grantham,James,1614-05-05,1615-09-18,,,,unsure ship name,,,,,,,,,,,,,,
132,,,C,Thomas,Graye,Thomas Graye,Thomas,,1613-11-05,,,,unsure ship name,,,,,,,,,,,,,,
133,,,P,Henry,Greene,Henry Greene,Hector,1613-09-02,1613-10-30,,,,,,,,,,,,,,,,,,
134,,,C,Thomas,Greenehough,Thomas Greenehough,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
135,,,C,Raphe,Griffen,Raphe Griffen,New Year's Gift,1615-11-12,1617-07-01,,,,date of probate corrected: n.o7.17; probate date: missing day,,,,,,,,,,,,,,
136,,,C,John,Griffen,John Griffen,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
137,,11/108/132v,P,William,Griffin,William Griffin,Susan,1605-01-13,1606-09-13,,,,,,,,,,,,,,,,,,
138,,11/102/220v,P,Evans,Griffine,Evans Griffine,Dragon,1603-05-01,1603-10-17,,,,,,,,,,,,,,,,,,
139,,11/123/714,P,Richard,Griffines,Richard Griffines,Trades Increase,1613-04-03,1614-06-27,surgeon's mate,,,,,,,,,,,,,,,,,
140,,,C,Thomas,Griggs,Thomas Griggs,Dragon,1615-06-06,1617-06-16,,,,,,,,,,,,,,,,,,
141,,,C,Robert,Griggs,Robert Griggs,Charles,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
142,,,C,Joseph,Grigson,Joseph Grigson,Rose,,1620-01-01,,,,extra name: Radcliff; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
143,,,P,Peter,Grilles,Peter Grilles,,1615-04-08,1617-06-27,,,,,,,,,,,,,,,,,,
144,,,C,John,Guillingham,John Guillingham,Trades Increase,1613-04-27,1614-10-31,,,,alternate last name: Gillingham,,,,,,,,,,,,,,
145,,,C,John,Gulson,John Gulson,Eagle,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
146,,,C,John,Gunston,John Gunston,Paulsgrave,,1622-01-01,,,,alternate last name: Gunstone; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
147,,,P,John,Gunter,John Gunter,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
148,LMA Microfilm,,P,John,Gurney,John Gurney,,1612-01-28,1618-09-25,,,,,,,,,,,,,,,,,,
149,,,C,Edward,Gynne,Edward Gynne,Globe,1616-01-30,1617-07-19,,,,alternate last name: Ginns,,,,,,,,,,,,,,
150,,,C,John,Haies,John Haies,Charles,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
151,,,C,Paule,Hall,Paule Hall,James,1613-05-15,1615-10-20,,,,,,,,,,,,,,,,,,
152,,,C,William,Hamnett,William Hamnett,Royal Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
153,,11/124/306,P,Robert,Hancocke,Robert Hancocke,Trades Increase,1613-03-26,1614-08-25,sailor,,,,,,,,,,,,,,,,,
154,,,P,John,Handfield,John Handfield,,1612-12-01,1614-07-02,,,,,,,,,,,,,,,,,,
155,,,C,William,Harper,William Harper,Paulsgrave,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
156,,,C,Francis,Harper,Francis Harper,Anne,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
